20/03/2017 08:44 - FRANCISCO | ID =  | CI = 19878 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 14.00
20/03/2017 08:50 - FRANCISCO | ID =  | CI = 19879 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 44.30
20/03/2017 15:54 - SANDRA | ID =  | CI = 19888 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 91.60
20/03/2017 16:38 - JENS | ID =  | CI = 19889 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 86.70
20/03/2017 16:38 - JENS | ID =  | CI = 19889 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 31.70
20/03/2017 16:38 - JENS | ID =  | CI = 19889 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 41.00
20/03/2017 16:38 - JENS | ID =  | CI = 19889 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 51.00
21/03/2017 08:06 - JOISYLOPES | ID =  | CI = 19892 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
21/03/2017 08:06 - JOISYLOPES | ID =  | CI = 19892 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 21.50
21/03/2017 08:06 - JOISYLOPES | ID =  | CI = 19892 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
21/03/2017 08:06 - JOISYLOPES | ID =  | CI = 19892 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
21/03/2017 08:06 - JOISYLOPES | ID =  | CI = 19892 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
21/03/2017 08:23 - MARTA | ID =  | CI = 19894 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.90
21/03/2017 08:23 - MARTA | ID =  | CI = 19894 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
21/03/2017 08:34 - ANGELO | ID =  | CI = 19895 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 40.00
21/03/2017 08:37 - ANGELO | ID =  | CI = 19896 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
21/03/2017 08:44 - ANGELO | ID =  | CI = 19897 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 23.70
21/03/2017 08:47 - ANGELO | ID =  | CI = 19898 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
21/03/2017 08:50 - ANGELO | ID =  | CI = 19899 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.50
21/03/2017 09:59 - KLEBER | ID =  | CI = 19903 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 83.32
21/03/2017 09:59 - KLEBER | ID =  | CI = 19903 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
21/03/2017 09:59 - KLEBER | ID =  | CI = 19903 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 58.40
21/03/2017 09:59 - KLEBER | ID =  | CI = 19903 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
