20/01/2017 14:09 - FRANCISCO | ID = 15454 | CI = 19073 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 56.23
20/01/2017 15:41 - MATHEUSRODRIGUES | ID =  | CI = 19074 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 64.00
23/01/2017 10:31 - FRANCISCO | ID =  | CI = 19094 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 205.00
23/01/2017 10:31 - FRANCISCO | ID =  | CI = 19094 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 156.80
23/01/2017 10:31 - FRANCISCO | ID =  | CI = 19094 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 115.00
23/01/2017 10:42 - FRANCISCO | ID =  | CI = 19095 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 44.30
24/01/2017 10:28 - REGI | ID =  | CI = 19115 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 7.55
24/01/2017 10:31 - REGI | ID =  | CI = 19116 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
24/01/2017 10:36 - REGI | ID =  | CI = 19118 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 76.00
24/01/2017 10:45 - REGI | ID =  | CI = 19121 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 47.80
24/01/2017 10:45 - REGI | ID =  | CI = 19121 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 15.00
24/01/2017 10:49 - REGI | ID =  | CI = 19122 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 38.00
24/01/2017 10:49 - REGI | ID = 15489 | CI = 19116 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
24/01/2017 10:50 - REGI | ID = 15488 | CI = 19115 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 7.55
24/01/2017 10:51 - REGI | ID = 15493 | CI = 19122 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 38.00
24/01/2017 17:42 - JENS | ID =  | CI = 19126 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 250.97
24/01/2017 17:42 - JENS | ID =  | CI = 19126 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 107.80
24/01/2017 17:42 - JENS | ID =  | CI = 19126 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 99.48
25/01/2017 07:28 - VELOSA | ID =  | CI = 19127 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 23.50
25/01/2017 07:28 - VELOSA | ID =  | CI = 19127 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 8.00
25/01/2017 07:31 - VELOSA | ID = 15528 | CI = 19127 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 23.50
25/01/2017 07:31 - VELOSA | ID =  | CI = 19127 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
25/01/2017 07:31 - VELOSA | ID = 15529 | CI = 19127 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 8.00
