22/05/2017 10:06 - OSVALDOFLORES | ID =  | CI = 20666 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 863.50
22/05/2017 10:06 - OSVALDOFLORES | ID =  | CI = 20666 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 146.50
22/05/2017 10:06 - OSVALDOFLORES | ID =  | CI = 20666 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 102.00
22/05/2017 10:06 - OSVALDOFLORES | ID =  | CI = 20666 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
22/05/2017 10:06 - OSVALDOFLORES | ID =  | CI = 20666 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
22/05/2017 10:06 - OSVALDOFLORES | ID =  | CI = 20666 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
22/05/2017 12:20 - GUSTAVOMELGES | ID =  | CI = 20672 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 566.72
22/05/2017 12:20 - GUSTAVOMELGES | ID =  | CI = 20672 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 124.00
22/05/2017 16:14 - MARTA | ID =  | CI = 20673 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 3.00
22/05/2017 16:14 - MARTA | ID =  | CI = 20673 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 48.00
22/05/2017 16:14 - MARTA | ID =  | CI = 20673 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
22/05/2017 16:14 - MARTA | ID =  | CI = 20673 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
23/05/2017 08:32 - NORIVAL | ID =  | CI = 20676 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 32.60
23/05/2017 10:12 - FRANCISCO | ID =  | CI = 20678 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.01
23/05/2017 10:12 - FRANCISCO | ID =  | CI = 20678 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 49.90
23/05/2017 10:16 - FRANCISCO | ID =  | CI = 20679 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 10.00
23/05/2017 12:20 - STEFANIAESTEVO | ID =  | CI = 20681 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 38.80
23/05/2017 12:22 - STEFANIAESTEVO | ID =  | CI = 20682 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 37.84
